request_id,client_id,kind,decompose,embed,rerank,agent_turn,annotate,total_cad,n_turns,n_searches,latency_ms
3e38d223-9963-440e-84c2-af9c496c8b58+6e362519-e778-4aa7-8c8a-61f4ec35d2bd,run-search,recherche_directe,0.00093846,0.00000045,0.00709980,0.00000000,0.00000000,0.00803871,0,1,2597
af09e878-505f-47ff-98cd-1ca1d3331067+d99f8bfb-8156-4834-881c-55a1ccb2bbbd,run-search,recherche_directe,0.00092143,0.00000112,0.00709980,0.00000000,0.00000000,0.00802235,0,1,1455
f174d233-7ec5-471e-bd09-f4457d1eda7f+3af97750-79d9-4b7a-88d1-be4c1517ad54,run-search,recherche_directe,0.00089374,0.00000045,0.00709980,0.00000000,0.00000000,0.00799399,0,1,1516
85bcb3ab-ced2-4a71-89c6-efc3cdbda5c6+c867aa97-526e-4e7b-922f-68c7a279482c,run-search,recherche_directe,0.00086818,0.00000045,0.00709980,0.00000000,0.00000000,0.00796843,0,1,1336
3fe41c0e-86d3-4411-8735-c7bb45b70976,run-agent,agent,0.00000000,0.00000000,0.00000000,0.00693328,0.00000000,0.00693328,2,0,6372
b9ba9633-e3ea-4a2c-abb9-d20676e1c370,run-agent,agent,0.00000000,0.00000000,0.00000000,0.00535622,0.00000000,0.00535622,2,0,6833
e0d3c12a-c608-4d56-9d00-9475c3bb9692,run-agent,agent,0.00000000,0.00000000,0.00000000,0.00494257,0.00000000,0.00494257,1,0,5000
d2c3db8c-54f7-4974-b6fe-87523abf1eef,run-agent,agent,0.00000000,0.00000000,0.00000000,0.00459113,0.00000000,0.00459113,1,0,3805
e06f6e70-2185-4b34-b56d-92173c8d61d6,run-agent,agent,0.00000000,0.00000000,0.00000000,0.00422523,0.00000000,0.00422523,2,0,4592
53ad42e2-69eb-456c-81f0-a26fca2780dd,run-agent,agent,0.00000000,0.00000000,0.00000000,0.00361472,0.00000000,0.00361472,1,0,5613
72f89f09-60b9-4ed9-940a-77edf7dc76e8,run-agent,agent,0.00000000,0.00000000,0.00000000,0.00355402,0.00000000,0.00355402,1,0,4934
ea2d23e4-8cc0-465c-bb14-dd32356859bc,run-agent,agent,0.00000000,0.00000000,0.00000000,0.00306839,0.00000000,0.00306839,1,0,5141
68b93060-27ca-428b-985e-cd60d7b3206d,run-agent,agent,0.00000000,0.00000000,0.00000000,0.00285859,0.00000000,0.00285859,1,0,4865
27a7cbd1-57cc-4062-9a13-8f8474744637,run-annotate,annotation,0.00000000,0.00000000,0.00000000,0.00000000,0.00086583,0.00086583,0,0,1840
29212782-2a7d-44e5-ad48-7e2847fcc165,run-annotate,annotation,0.00000000,0.00000000,0.00000000,0.00000000,0.00086583,0.00086583,0,0,2454
